save_as,category,url,license,source_page,author
aiga_arriving.png,gate,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Aiga_arrivingflights.svg/500px-Aiga_arrivingflights.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_arrivingflights.svg,AIGA / US DOT
aiga_departing.png,gate,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Aiga_departingflights.svg/500px-Aiga_departingflights.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_departingflights.svg,AIGA / US DOT
aiga_baggage.png,baggage,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Aiga_baggage_check_in.svg/500px-Aiga_baggage_check_in.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_baggage_check_in.svg,AIGA / US DOT
aiga_ticket.png,check_in,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Aiga_ticketpurchase.svg/500px-Aiga_ticketpurchase.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_ticketpurchase.svg,AIGA / US DOT
aiga_customs.png,security,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Aiga_customs.svg/500px-Aiga_customs.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_customs.svg,AIGA / US DOT
aiga_immigration.png,security,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Aiga_immigration.svg/500px-Aiga_immigration.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_immigration.svg,AIGA / US DOT
aiga_info.png,information,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/AIGA_information.svg/500px-AIGA_information.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:AIGA_information.svg,AIGA / US DOT
aiga_hotelinfo.png,information,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Aiga_hotelinformation.svg/500px-Aiga_hotelinformation.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_hotelinformation.svg,AIGA / US DOT
aiga_taxi.png,taxi,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Aiga_taxi.svg/500px-Aiga_taxi.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_taxi.svg,AIGA / US DOT
aiga_ground.png,transport,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Aiga_groundtransportation.svg/500px-Aiga_groundtransportation.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_groundtransportation.svg,AIGA / US DOT
aiga_rail.png,transport,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Aiga_railtransportation.svg/500px-Aiga_railtransportation.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_railtransportation.svg,AIGA / US DOT
aiga_bus.png,transport,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Aiga_bus.svg/500px-Aiga_bus.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_bus.svg,AIGA / US DOT
aiga_restaurant.png,restaurant,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Aiga_restaurant.svg/500px-Aiga_restaurant.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_restaurant.svg,AIGA / US DOT
aiga_coffee.png,restaurant,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Aiga_coffeeshop.svg/500px-Aiga_coffeeshop.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_coffeeshop.svg,AIGA / US DOT
aiga_lostfound.png,lost_and_found,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Aiga_lostandfound.svg/500px-Aiga_lostandfound.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_lostandfound.svg,AIGA / US DOT
aiga_toilets_men.png,restroom,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Aiga_toiletsq_men.svg/500px-Aiga_toiletsq_men.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Aiga_toiletsq_men.svg,AIGA / US DOT
toilets_unisex.png,restroom,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Toilets_unisex.svg/500px-Toilets_unisex.svg.png,Public domain,https://commons.wikimedia.org/wiki/File:Toilets_unisex.svg,AIGA / US DOT
toilet_women.png,restroom,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Toilet_women.svg/500px-Toilet_women.svg.png,CC BY 2.5,https://commons.wikimedia.org/wiki/File:Toilet_women.svg,see Wikimedia file page
